State,Team 1 CC,Team 2 CC
Central Asia,58.26,66.13
Central Europe,63.65,72.88
Central Africa,45.32,52.77
East Asia,62.42,69.83
Eastern Europe,57.8,66.1
Latin America,63.45,72.41
North America,66.66,77.18
South Africa,48.13,55.4
South Asia,53.82,62.54
Southeast Asia,59.72,67.9
Western Europe,68.47,78.56
World,58.38,66.82
